"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1085","test_google_title","","Thu Jul 10 16:11:47 IST 2025","passed","Thu Jul 10 16:11:48 IST 2025","","Basic","",""
"","1590","test_search_box_visible","","Thu Jul 10 16:11:54 IST 2025","passed","Thu Jul 10 16:11:55 IST 2025","","Basic","",""
